Scattered successful lookup:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
20734;12.1185;12.1607;22.1414;8.57818;8.64791
21764;13.4001;13.3336;22.6656;8.63737;8.71039
22845;15.0964;14.8944;23.5223;8.82818;8.81868
23980;17.0494;17.0111;24.0718;9.44675;9.1289
25171;19.834;19.9116;17.7715;10.2588;9.95978
26421;23.9039;23.7599;18.3807;11.5034;11.3676
27733;29.064;28.5441;19.1143;8.52079;8.60485
29110;9.95983;10.0574;19.7812;8.52224;8.60688
30555;10.0747;10.1627;20.5351;8.53739;8.62827
32072;10.281;10.3882;21.0705;8.55863;8.68678
33664;10.5058;10.6382;21.8125;8.59645;8.72184
35335;10.8199;10.9967;22.5197;8.63544;8.77826
37089;11.3587;11.4337;23.2823;8.67936;8.81011
38930;11.9787;12.0588;23.6868;8.72494;8.87686
40863;12.7967;12.9265;24.3451;8.80997;8.96795
42892;13.8634;13.976;24.9017;9.0364;9.13463
45022;15.3224;15.4938;25.4554;9.5059;9.40124
47258;17.2915;17.1767;26.0035;10.0991;9.9046
49605;20.0243;19.7416;18.9228;10.8424;10.7878
52069;23.4233;23.3319;19.579;11.7976;11.9254
54656;28.4199;28.1546;20.3191;8.60189;8.78434
57372;10.2365;10.3767;21.0114;8.62179;8.77151
60223;10.3494;10.5332;21.7102;8.66195;8.83707
63216;10.5325;10.7186;22.4343;8.67859;8.89282
66358;10.7761;10.9246;23.0752;8.70966;8.96014
69657;11.0973;11.2994;23.8363;8.76243;9.04829
73120;11.5144;11.7384;24.5076;8.81182;9.07918
76756;12.053;12.301;25.0627;8.89529;9.16708
80573;12.7393;13.0774;25.6381;9.04248;9.2646
84580;13.6789;14.0243;26.2512;9.26925;9.50755
88787;14.9603;15.3043;26.7937;9.66738;9.79771
93204;16.7041;17.0764;27.3983;10.1714;10.1817
97841;19.2114;19.4568;28.0056;10.7331;10.8205
102709;22.5294;23.0535;19.5723;11.4959;11.7493
107820;27.3512;27.7765;20.2808;8.78505;9.11308
113186;33.8102;34.3991;20.8849;8.82073;9.14828
118820;10.6738;11.0194;21.6494;9.01803;9.19453
124735;10.9176;11.1954;22.2824;8.86404;9.25195
130945;11.1825;11.7643;22.9172;8.91557;9.37212
137465;11.6642;12.1319;23.5082;9.02047;9.44211
144311;11.9875;13.1082;24.109;9.08245;9.56206
151499;13.3422;12.8255;24.645;9.14547;9.55133
159046;13.3166;13.7783;25.1972;9.5207;9.76695
166970;15.1411;14.4288;25.7171;9.51058;9.89049
175290;15.406;15.5213;26.1918;9.76527;10.1591
184026;17.1779;17.1519;26.7589;10.2542;10.5216
193198;21.8107;19.6201;27.3013;10.6735;11.1293
202828;22.5094;22.9868;19.8255;11.5888;11.9978
212939;27.0021;27.3102;20.6364;12.912;13.4929
223555;33.8619;36.6114;21.2627;9.98301;9.91028
234701;12.0206;12.4641;22.2079;9.59192;9.93021
246404;13.2902;12.7992;22.6722;9.82246;10.0222
258692;13.3325;12.9138;23.3273;9.65577;10.0603
271594;13.6894;13.3654;24.2656;9.74841;10.1084
285141;13.3088;13.9258;25.1669;9.89044;10.2893
299365;13.5469;14.1428;25.7526;9.96767;10.4062
314300;14.317;15.9759;26.4431;10.0412;10.5385
329981;15.0693;15.9268;27.3905;10.2435;10.7231
346446;16.4931;18.3735;28.3115;10.5163;11.0298
363734;17.948;18.4304;29.2097;11.1838;11.3811
381886;19.8728;20.7808;30.3909;11.3503;12.0901
400945;23.2286;26.2292;23.5418;11.9828;12.8689
420956;27.4406;29.4027;25.1697;13.3772;14.2836
441967;33.222;39.3423;26.4554;10.3187;10.7686
464028;13.4603;13.9949;28.5746;10.3661;10.8714
487192;14.7095;15.2593;30.0397;10.3965;11.0336
511514;13.8187;15.6155;31.4515;10.4686;11.1269
537052;14.1437;16.0516;33.7026;10.5731;11.3351
