Scattered successful lookup:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
2102715;21.4825;29.5174;206.765;21.4652;26.3258
2207796;22.0003;30.7225;212.218;21.7521;26.9076
2318131;22.5691;33.7122;217.732;22.0751;27.464
2433982;23.2177;34.0503;223.249;22.426;28.0774
2555625;23.9432;36.1126;228.859;22.4512;29.3915
2683350;24.9251;38.2284;237.358;23.3548;30.4699
2817461;26.1257;39.9571;258.231;23.9546;30.9663
2958277;27.6563;41.7762;251.089;24.7894;31.99
3106133;29.9717;46.122;275.728;25.9052;33.9647
3261381;33.2308;50.1582;190.764;27.6874;36.205
3424391;38.1512;59.2344;196.106;29.9686;40.6851
3595551;46.0188;72.3178;201.733;22.1821;27.3497
3775269;20.9176;38.719;205.296;21.5741;27.9119
3963972;24.4398;36.2441;209.624;22.9019;28.2097
4162110;22.3669;36.9032;215.54;23.2072;29.4856
4370154;23.8517;38.9803;220.648;23.2107;30.6973
4588600;24.4643;40.9422;225.62;22.2652;30.6717
4817968;24.2336;41.1901;239.945;23.8975;31.3595
5058804;27.3926;42.304;245.53;23.0542;36.0705
5311681;26.4548;45.977;251.14;23.489;33.7029
5577201;28.8037;48.4876;256.153;25.4846;33.9482
5855997;28.6363;50.6766;264.185;26.3004;36.1831
6148732;32.9543;54.6889;269.055;26.0127;37.2123
6456103;34.7537;59.8019;195.852;29.0865;38.3172
6778842;40.886;68.7673;201.031;31.9604;43.2504
7117717;47.4587;80.9783;208.123;40.5684;51.2312
7473535;49.0553;61.3948;212.622;40.8993;52.287
7847143;46.1137;62.8989;217.408;41.2926;53.4324
8239431;46.2309;64.1325;221.515;41.5836;52.4566
8651333;46.9786;63.2284;227.719;42.1807;53.7267
9083830;47.4537;66.9507;233.308;39.8548;54.7665
9537951;48.1076;68.3212;238.19;43.1901;55.8381
