Scattered successful lookup:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
5577201;29.9212;48.4868;257.947;24.118;34.5623
5855997;30.222;50.288;264.299;26.6407;37.7076
6148732;33.0056;55.5079;271.187;30.6605;39.1135
6456103;36.0905;60.6984;196.967;29.482;41.827
6778842;38.9665;74.0308;200.647;31.8871;43.4287
7117717;47.158;81.4492;208.051;38.9216;49.1656
7473535;45.7382;61.8342;212.679;41.2606;52.7202
7847143;44.8421;63.3904;217.329;43.4941;51.3561
8239431;46.7235;61.5719;222.289;43.5282;54.2563
8651333;48.5134;65.0557;227.716;44.42;53.96
9083830;48.2417;66.8109;233.112;52.0842;56.1329
9537951;48.5521;65.5795;238.058;47.8944;56.8894
