No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
76756;89.0526;73.0646;93.3635
80573;88.6223;72.7357;93.5062
84580;87.313;71.9317;93.3653
88787;86.5013;71.4655;93.0934
93204;85.7591;71.0688;92.8668
97841;85.1293;70.5262;92.8174
102709;84.5354;83.9517;102.087
107820;84.5865;82.6122;101.662
113186;83.8632;81.7503;101.037
118820;83.6702;80.7744;101.011
124735;83.0381;79.926;100.83
130945;82.7225;79.1642;100.742
137465;97.3891;78.8018;100.559
144311;95.9191;77.7956;100.121
151499;95.2098;77.0356;100.196
159046;95.3661;76.4618;99.5737
166970;93.0017;76.2529;99.292
175290;92.2682;75.6407;99.0655
184026;91.7194;74.9105;98.7877
193198;90.6995;74.6519;98.828
202828;89.9317;90.0714;109.7
212939;89.4027;88.3808;109.236
223555;89.5978;87.5521;109.464
234701;87.9526;86.3012;109.469
246404;87.6878;85.4604;108.785
258692;87.6339;84.6179;108.272
271594;112.448;83.3174;107.726
285141;110.439;82.9241;108.225
299365;109.668;82.2325;108.376
314300;109.696;81.7085;108.429
329981;108.321;81.1872;107.712
346446;107.192;80.8637;108.325
363734;106.776;80.3882;108.24
381886;107.502;80.4572;109.089
400945;107.383;114.616;136.33
420956;107.348;115.511;138.824
441967;109.159;113.988;142.122
464028;109.143;113.054;144.309
487192;111.504;112.118;147.041
511514;113.107;111.389;148.929
537052;161.428;110.78;152.148
563866;161.703;110.724;156.754
592020;164.478;109.372;158.725
621581;165.865;109.863;163.723
652620;165.587;109.781;166.153
685210;166.762;110.148;170.877
719429;169.691;110.689;175.321
755358;173.153;113.02;180.337
793083;175.548;175.52;228.49
832694;178.78;174.521;233.103
874285;180.585;176.398;237.92
917955;184.034;173.313;241.532
963808;186.155;171.402;248.393
1011953;189.108;170.57;252.407
1062505;261.684;170.293;256.224
1115584;261.54;170.751;261.8
1171316;260.262;170.334;266.505
1229834;260.376;170.84;269.562
1291277;260.873;170.946;274.968
1355792;262.169;171.159;278.281
1423532;263.57;171.621;282.833
1494659;263.012;172.803;287.025
1569342;264.441;173.367;290.212
1647759;264.309;248.296;345.075
1730096;266.578;244.28;347.442
1816549;269.699;241.044;350.581
1907324;270.36;238.881;352.908
2002637;270.23;236.849;355.845
2102715;357.592;235.03;358.918
2207796;353.221;233.729;360.248
2318131;350.267;232.889;363.073
2433982;348.375;231.969;365.633
2555625;347.139;231.669;368.636
2683350;344.424;230.809;370.569
2817461;343.512;231.242;373.3
2958277;341.28;230.927;374.935
Runnning insertion, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;72.3228;71.9563;80.7182
10500;80.9778;71.6747;80.3618
11025;79.8486;71.2761;80.2391
11576;78.5488;71.1476;80.4492
12154;78.3775;70.796;79.7041
12760;77.7213;70.5462;79.966
13396;77.1638;70.4381;79.6978
14063;77.0646;70.2499;79.8049
14763;77.7092;70.4763;79.4469
15498;76.567;77.2116;84.9915
16269;76.8654;76.5623;84.7117
17078;77.5895;75.9809;84.7753
17927;77.0017;75.6045;84.7637
18818;76.9354;75.1034;84.5753
19753;77.133;74.8112;84.6536
20734;86.4365;74.5652;84.7333
21764;86.8472;74.4179;84.9993
22845;85.7398;74.5181;85.1435
23980;85.2275;74.5431;85.2232
25171;84.3509;74.1987;85.3323
26421;84.4001;74.6144;85.5586
27733;84.6696;74.6595;85.9359
29110;84.007;74.5254;86.5365
30555;83.9627;74.9217;86.4626
32072;83.9085;84.1184;93.5062
33664;84.108;83.4691;93.7977
35335;84.1531;82.4186;93.7902
37089;84.6342;81.8142;93.996
38930;84.3663;81.3165;94.1871
40863;84.616;81.1437;94.3353
42892;95.1232;80.9002;94.3925
45022;94.4181;80.7039;94.5066
47258;93.8082;80.4037;94.5447
49605;93.8101;80.4781;94.8326
52069;93.279;79.9944;94.8413
54656;92.4809;80.2309;95.2015
57372;92.5932;80.4069;95.347
60223;92.1214;80.7545;95.7558
63216;92.4749;91.3014;103.349
66358;92.0508;90.7126;103.425
69657;92.2815;89.6574;103.38
73120;92.3724;89.1723;103.593
76756;92.2516;88.5651;103.596
80573;92.4185;88.4273;103.807
84580;103.775;87.9154;103.758
88787;103.225;87.7496;103.742
93204;102.664;87.3143;103.62
97841;101.73;87.5476;104.046
102709;101.591;87.3966;104.073
107820;101.284;87.6557;104.083
113186;101.109;87.6809;104.386
118820;100.747;87.8971;104.638
124735;100.316;98.9186;112.547
130945;100.307;98.322;112.652
137465;100.173;97.7539;112.84
144311;100.004;97.1245;112.646
151499;100.311;96.3165;112.356
159046;100.387;95.8666;112.535
166970;113.691;95.5951;112.324
175290;112.64;94.8422;112.413
184026;111.5;94.6911;112.209
193198;110.735;94.3196;112.227
202828;109.679;94.2062;112.151
212939;109.465;94.5423;112.5
223555;108.732;94.2413;112.242
234701;108.364;94.4164;112.439
246404;107.629;107.616;122.591
258692;107.996;106.517;122.699
271594;107.95;105.578;122.883
285141;107.871;104.77;122.44
299365;107.884;103.724;122.894
314300;108.382;103.647;123.168
329981;125.865;102.985;123.189
346446;124.533;103.045;123.3
363734;123.462;102.816;124.005
381886;122.079;102.765;124.038
400945;122.361;102.963;124.615
420956;121.029;103.183;125.022
441967;121.127;103.629;125.706
464028;121.338;104.632;126.532
487192;122.059;105.181;127.593
511514;122.976;132.58;148.945
537052;124.947;132.779;152.527
563866;127.52;131.845;154.677
592020;130.173;131.803;157.804
621581;132.048;131.563;159.762
652620;136.226;131.093;163.052
685210;191.678;133.389;167.12
719429;191.357;134.381;172.962
755358;193.629;137.21;177.871
793083;193.811;139.023;182.163
832694;196.875;142.317;189.278
