No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
511514;139.856;131.873;181.774
537052;141.9;131.456;186.639
563866;144.144;130.96;190.985
592020;146.98;130.68;196.404
621581;149.961;129.995;199.901
652620;153.427;130.384;206.738
685210;157.267;130.95;210.482
719429;239.798;132.471;218.518
755358;241.459;133.035;223.479
793083;242.589;220.081;284.353
832694;244.486;218.723;291.334
874285;245.965;217.278;297.25
917955;247.964;215.814;304.139
963808;250.122;214.284;310.71
1011953;252.879;213.27;316.833
1062505;255.697;212.609;323.553
1115584;258.878;212.733;329.501
1171316;262.143;212.52;335.281
1229834;264.871;212.47;340.414
1291277;268.242;213.275;346.52
1355792;272.645;213.723;352.315
1423532;276.104;214.77;357.758
1494659;382.607;216.613;363.652
1569342;381.604;218.454;369.528
1647759;380.635;321.206;438.632
1730096;379.922;316.368;443.254
1816549;378.936;313.219;448.31
1907324;378.843;309.41;451.755
2002637;379.108;306.672;454.221
2102715;379.712;304.508;457.789
2207796;380.562;302.113;460.806
2318131;380.82;299.956;464.466
2433982;382.152;298.723;470.469
2555625;383.676;297.681;472.59
2683350;385.335;296.799;475.66
2817461;386.667;296.602;476.475
2958277;642.169;296.341;480.698
Runnning insertion, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;95.4128;75.4677;94.6219
10500;94.9211;74.7242;95.2014
11025;102.059;83.5165;99.8611
11576;102.419;83.8285;101.884
12154;101.122;74.8042;101.604
12760;93.4297;74.0136;96.1648
13396;93.593;74.5084;94.4773
14063;93.3052;74.5183;95.1185
14763;93.5581;74.7865;94.048
15498;95.9265;75.1534;90.7519
16269;111.712;84.5799;109.965
17078;103.93;83.1719;100.845
17927;103.786;82.8436;100.805
18818;102.689;82.855;101.375
19753;103.017;82.2112;101.295
20734;102.443;82.5402;101.929
21764;102.417;82.2453;102.179
22845;102.647;82.7526;106.097
23980;102.211;82.6879;103.021
25171;102.436;82.6345;106.479
26421;102.959;82.8914;103.855
27733;103.174;83.9128;107.954
29110;103.473;83.5778;109.534
30555;108.215;84.5932;110.31
32072;104.452;86.4871;104.276
33664;107.067;85.9446;104.379
35335;106.156;84.286;104.677
37089;105.554;83.6175;105.098
38930;105.057;83.1433;105.482
40863;105.352;82.9426;105.74
42892;104.76;82.8511;106.116
45022;104.951;82.3843;106.646
47258;104.597;82.6474;106.636
49605;105.145;82.4815;107.102
52069;104.896;82.2041;106.969
54656;104.372;82.5208;107.804
57372;104.864;83.1214;108.049
60223;105.54;83.6932;109.043
63216;105.896;98.6333;118.698
66358;120.779;97.6506;119.133
69657;119.575;96.47;119.265
73120;119.046;96.0531;119.515
76756;118.766;95.4142;120.039
80573;117.987;95.3467;120.173
84580;117.921;94.7974;120.048
88787;117.523;94.6001;120.331
93204;117.339;94.1516;120.456
97841;117.09;94.5471;120.853
102709;117.237;94.3787;120.834
107820;117.568;94.7524;121.325
113186;117.999;95.1598;121.689
118820;117.995;95.1974;122.006
124735;118.345;110.666;132.157
130945;118.677;109.907;132.299
137465;133.345;108.995;132.575
144311;132.194;108.093;132.286
151499;131.467;106.967;132.164
159046;130.468;106.412;132.159
166970;129.465;106.086;132.051
175290;128.642;105.088;131.7
184026;128.363;104.902;131.744
193198;127.836;104.403;131.709
202828;127.544;104.178;131.311
212939;127.749;104.479;131.887
223555;127.446;104.02;131.714
234701;127.748;104.233;131.868
246404;127.712;121.455;142.945
258692;128.008;119.948;142.949
271594;145.354;118.586;142.953
285141;144.178;117.302;143.159
299365;143.546;116.032;143.186
314300;142.571;115.835;143.543
329981;141.724;115.111;143.31
346446;141.545;115.159;143.857
363734;141.269;114.273;144.593
381886;141.208;114.311;145.097
400945;141.781;115.024;146.075
420956;142.515;115.381;147.398
441967;143.641;116.117;149.181
464028;145.285;117.516;151.528
487192;146.928;118.757;153.253
511514;149.178;160.405;183.026
537052;152.257;159.533;186.697
563866;203.289;158.215;190.039
592020;203.323;157.722;194.165
621581;203.591;158.078;198.614
652620;204.537;160.008;204.272
685210;206.743;160.723;208.054
719429;209.277;162.741;215.443
755358;212.781;164.522;220.169
793083;216.995;168.768;229.001
832694;221.367;172.31;236.472
874285;227.504;176.599;244.57
917955;233.787;181.228;251.235
963808;240.604;187.229;262.36
1011953;248.515;281.095;328.111
1062505;256.025;280.824;336.408
1115584;360.565;278.771;344.294
1171316;361.204;278.888;351.85
1229834;363.203;279.265;359.479
1291277;366.101;280.659;368.148
1355792;368.625;281.87;375.353
1423532;372.505;284.226;384.091
1494659;375.703;287.89;391.738
1569342;381.178;291.337;395.394
1647759;387.044;294.393;404.894
1730096;392.217;299.779;412.019
1816549;399.112;306.433;420.625
1907324;407.123;312.008;431.682
2002637;414.757;430.65;511.973
2102715;422.945;426.636;517.854
2207796;431.409;423.777;521.212
2318131;551.606;421.669;530.508
2433982;550.527;420.232;535.219
2555625;549.923;419.813;542.425
2683350;550.555;419.677;547.431
2817461;551.532;420.682;553.065
2958277;553.603;421.666;558.759
